L	σ	M	order	n	η0	α	ApK	h0	γ	NpL	trust	tolerance	seed	nfev	f0	f1	f2	f3	minf
20	0.0	20000	1	64	1.0	0.602	0.0	0.02	0.101	0.5	1.0	0.0	0	20125	1.0	0.9580343283077397	0.9304730246067878	0.9112796174877149	0.8941819660144167
20	0.0	20000	2	64	1.0	0.602	0.0	0.02	0.101	0.5	1.0	0.0	0	20047	1.0	0.9706919662280032	0.9427456148783898	0.9253445598213925	0.910634444489354
20	0.0	20000	1	1	0.01	1.0	0.0	0.02	0.101	0.5	1.0	0.0	0	30001	1.0	0.9951268534219508	0.9947856025435114	0.994603881027632	0.9944710251346189
20	0.0	20000	2	1	0.01	1.0	0.0	0.02	0.101	0.5	1.0	0.0	0	25001	1.0	0.9976880706781361	0.9974948817228901	0.9973953533105966	0.9972753821513201
20	0.0	20000	1	4	0.01	1.0	0.0	0.02	0.101	0.5	1.0	0.0	0	22501	1.0	0.9948373098005614	0.9944483855776146	0.9942472159021144	0.9940996221475794
20	0.0	20000	2	4	0.01	1.0	0.0	0.02	0.101	0.5	1.0	0.0	0	21251	1.0	0.9973622268599913	0.9970969013407434	0.9969530440629205	0.9968015682285662
20	0.0	20000	1	16	0.01	1.0	0.0	0.02	0.101	0.5	1.0	0.0	0	20626	1.0	0.995423259709267	0.9949951907609842	0.9947748649653357	0.9946123941326317
20	0.0	20000	2	16	0.01	1.0	0.0	0.02	0.101	0.5	1.0	0.0	0	20281	1.0	0.9980405077392126	0.9977216403284361	0.9975251082952262	0.9973554271863069
20	0.0	20000	1	64	0.01	1.0	0.0	0.02	0.101	0.5	1.0	0.0	0	20125	1.0	0.9961961166509044	0.9957235205098257	0.9954734926178543	0.9952892970059337
20	0.0	20000	2	64	0.01	1.0	0.0	0.02	0.101	0.5	1.0	0.0	0	20047	1.0	0.9982133360578856	0.9978401524646126	0.9976311361192705	0.9974604204378771
20	0.0	20000	1	1	0.1	1.0	0.0	0.02	0.101	0.5	1.0	0.0	0	30001	1.0	0.9866439736749797	0.986185447358021	0.9859332840953975	0.985752518725576
20	0.0	20000	2	1	0.1	1.0	0.0	0.02	0.101	0.5	1.0	0.0	0	25001	1.0	0.991383978150451	0.9897609859137406	0.9890383885183635	0.9881642319331996
20	0.0	20000	1	4	0.1	1.0	0.0	0.02	0.101	0.5	1.0	0.0	0	22501	1.0	0.9865686574909232	0.9861212316464237	0.9858722211255537	0.9856928766602454
20	0.0	20000	2	4	0.1	1.0	0.0	0.02	0.101	0.5	1.0	0.0	0	21251	1.0	0.9915280257367021	0.9893018971669898	0.9882152090835548	0.987142262610332
