L	M	σ	seed	order	n	η0	α	ApK	h0	γ	NpL	p	trust	tolerance	K	A	a0	N	fp	nfev
20	20000	0.0	0	1	1	0.01	0.602	0.0	0.2	0.101	0.5	0.5	1.0	0.0	10000	0.0	0.01	10	0.9880071204348415	30001
20	20000	0.0	0	2	1	0.01	0.602	0.0	0.2	0.101	0.5	0.5	1.0	0.0	5000	0.0	0.01	10	0.9832943686686949	24996
20	20000	0.0	0	1	4	0.01	0.602	0.0	0.2	0.101	0.5	0.5	1.0	0.0	2500	0.0	0.01	10	0.9892635734004377	22501
20	20000	0.0	0	2	4	0.01	0.602	0.0	0.2	0.101	0.5	0.5	1.0	0.0	1250	0.0	0.01	10	0.9846071653059801	21234
20	20000	0.0	0	1	16	0.01	0.602	0.0	0.2	0.101	0.5	0.5	1.0	0.0	625	0.0	0.01	10	0.9904983736949954	20626
20	20000	0.0	0	2	16	0.01	0.602	0.0	0.2	0.101	0.5	0.5	1.0	0.0	312	0.0	0.01	10	0.987123381195147	20281
20	20000	0.0	0	1	64	0.01	0.602	0.0	0.2	0.101	0.5	0.5	1.0	0.0	156	0.0	0.01	10	0.9923248976048108	20125
20	20000	0.0	0	2	64	0.01	0.602	0.0	0.2	0.101	0.5	0.5	1.0	0.0	78	0.0	0.01	10	0.9888989462283282	20047
20	20000	0.0	0	1	1	0.1	0.602	0.0	0.2	0.101	0.5	0.5	1.0	0.0	10000	0.0	0.1	10	0.9633897064559779	30001
20	20000	0.0	0	2	1	0.1	0.602	0.0	0.2	0.101	0.5	0.5	1.0	0.0	5000	0.0	0.1	10	0.9316408698593	25001
20	20000	0.0	0	1	4	0.1	0.602	0.0	0.2	0.101	0.5	0.5	1.0	0.0	2500	0.0	0.1	10	0.9753259203613837	22501
20	20000	0.0	0	2	4	0.1	0.602	0.0	0.2	0.101	0.5	0.5	1.0	0.0	1250	0.0	0.1	10	0.9483391885137159	21234
20	20000	0.0	0	1	16	0.1	0.602	0.0	0.2	0.101	0.5	0.5	1.0	0.0	625	0.0	0.1	10	0.9835927937709052	20626
20	20000	0.0	0	2	16	0.1	0.602	0.0	0.2	0.101	0.5	0.5	1.0	0.0	312	0.0	0.1	10	0.9666816486935202	20216
20	20000	0.0	0	1	64	0.1	0.602	0.0	0.2	0.101	0.5	0.5	1.0	0.0	156	0.0	0.1	10	0.9876835529056217	19996
20	20000	0.0	0	2	64	0.1	0.602	0.0	0.2	0.101	0.5	0.5	1.0	0.0	78	0.0	0.1	10	0.9767657917888078	19790
20	20000	0.0	0	1	1	0.6283185307179586	0.602	0.0	0.2	0.101	0.5	0.5	1.0	0.0	10000	0.0	0.6283185307179586	10	0.864409376183126	30001
20	20000	0.0	0	2	1	0.6283185307179586	0.602	0.0	0.2	0.101	0.5	0.5	1.0	0.0	5000	0.0	0.6283185307179586	10	0.8208503420082379	25001
20	20000	0.0	0	1	4	0.6283185307179586	0.602	0.0	0.2	0.101	0.5	0.5	1.0	0.0	2500	0.0	0.6283185307179586	10	0.9245293767896756	22501
20	20000	0.0	0	2	4	0.6283185307179586	0.602	0.0	0.2	0.101	0.5	0.5	1.0	0.0	1250	0.0	0.6283185307179586	10	0.8761576219733541	21234
20	20000	0.0	0	1	16	0.6283185307179586	0.602	0.0	0.2	0.101	0.5	0.5	1.0	0.0	625	0.0	0.6283185307179586	10	0.9590878398217847	20626
20	20000	0.0	0	2	16	0.6283185307179586	0.602	0.0	0.2	0.101	0.5	0.5	1.0	0.0	312	0.0	0.6283185307179586	10	0.9151136781123027	19891
20	20000	0.0	0	1	64	0.6283185307179586	0.602	0.0	0.2	0.101	0.5	0.5	1.0	0.0	156	0.0	0.6283185307179586	10	0.97310515266321	19996
20	20000	0.0	0	2	64	0.6283185307179586	0.602	0.0	0.2	0.101	0.5	0.5	1.0	0.0	78	0.0	0.6283185307179586	10	0.9483840149229177	19533
20	20000	0.0	0	1	1	1.0	0.602	0.0	0.2	0.101	0.5	0.5	1.0	0.0	10000	0.0	1.0	10	0.8311150065334504	30001
20	20000	0.0	0	2	1	1.0	0.602	0.0	0.2	0.101	0.5	0.5	1.0	0.0	5000	0.0	1.0	10	0.7926173000092452	24991
20	20000	0.0	0	1	4	1.0	0.602	0.0	0.2	0.101	0.5	0.5	1.0	0.0	2500	0.0	1.0	10	0.9068338256794632	22501
20	20000	0.0	0	2	4	1.0	0.602	0.0	0.2	0.101	0.5	0.5	1.0	0.0	1250	0.0	1.0	10	0.8568660934946158	21234
