L	M	σ	seed	order	n	η0	α	ApK	h0	γ	NpL	p	trust	tolerance	K	A	a0	N	fp	nfev
20	20000	0.01	0	1	1	0.1	1.0	0.0	0.2	0.101	0.5	0.5	1.0	0.02	10000	0.0	0.1	10	1.0037408158918684	30001
20	20000	0.01	0	2	1	0.1	1.0	0.0	0.2	0.101	0.5	0.5	1.0	0.02	5000	0.0	0.1	10	0.988234234727484	25001
20	20000	0.01	0	1	4	0.1	1.0	0.0	0.2	0.101	0.5	0.5	1.0	0.02	2500	0.0	0.1	10	0.9830223093602588	22501
20	20000	0.01	0	2	4	0.1	1.0	0.0	0.2	0.101	0.5	0.5	1.0	0.02	1250	0.0	0.1	10	0.9779095116215532	21251
20	20000	0.01	0	1	16	0.1	1.0	0.0	0.2	0.101	0.5	0.5	1.0	0.02	625	0.0	0.1	10	1.0028807493022824	20626
20	20000	0.01	0	2	16	0.1	1.0	0.0	0.2	0.101	0.5	0.5	1.0	0.02	312	0.0	0.1	10	0.967977026824297	20281
20	20000	0.01	0	1	64	0.1	1.0	0.0	0.2	0.101	0.5	0.5	1.0	0.02	156	0.0	0.1	10	0.994791605565431	20125
20	20000	0.01	0	2	64	0.1	1.0	0.0	0.2	0.101	0.5	0.5	1.0	0.02	78	0.0	0.1	10	0.9876077248809354	20047
20	20000	0.01	0	1	1	0.6283185307179586	1.0	0.0	0.2	0.101	0.5	0.5	1.0	0.02	10000	0.0	0.6283185307179586	10	0.9710007174859028	30001
20	20000	0.01	0	2	1	0.6283185307179586	1.0	0.0	0.2	0.101	0.5	0.5	1.0	0.02	5000	0.0	0.6283185307179586	10	0.9505538840041609	24996
20	20000	0.01	0	1	4	0.6283185307179586	1.0	0.0	0.2	0.101	0.5	0.5	1.0	0.02	2500	0.0	0.6283185307179586	10	0.9442080822467296	22411
20	20000	0.01	0	2	4	0.6283185307179586	1.0	0.0	0.2	0.101	0.5	0.5	1.0	0.02	1250	0.0	0.6283185307179586	10	0.9511116849453413	21251
